date,open,close,high,low,volume
2023-10-03,137.9,139.2,140.6,137.2,19010910
2023-10-04,138.0,138.85,139.15,136.55,14912053
2023-10-05,139.5,138.95,141.35,138.1,15996620
2023-10-06,139.0,139.0,140.5,138.65,4987359
2023-10-09,136.2,135.75,137.6,135.05,10489249
2023-10-10,137.4,139.95,141.0,136.5,15593722
2023-10-11,139.95,137.75,140.5,137.5,10778916
2023-10-12,137.95,138.2,138.7,137.2,7567439
2023-10-13,136.3,137.45,138.2,136.3,8303230
2023-10-16,137.0,137.4,137.9,136.55,7785480
2023-10-17,137.5,138.55,138.9,137.5,6076896
2023-10-18,138.75,137.05,138.95,136.4,6806231
2023-10-19,136.0,137.0,137.2,135.05,7775836
2023-10-20,136.7,134.2,136.9,133.5,8982112
2023-10-23,134.3,132.7,135.9,131.4,19333777
2023-10-25,132.5,131.2,134.65,129.25,10225867
2023-10-26,130.0,128.85,130.2,127.0,18167694
2023-10-27,129.25,132.2,132.85,129.25,8761931
2023-10-30,133.5,131.95,133.95,130.8,9052085
2023-10-31,132.5,133.25,133.65,130.75,8098744
2023-11-01,133.75,132.4,134.55,132.05,10431945
2023-11-02,133.7,134.75,135.0,133.3,4885035
2023-11-03,135.15,135.95,137.0,134.75,9154983
2023-11-06,136.95,137.65,138.0,136.0,7070089
2023-11-07,137.55,138.05,138.95,136.7,8587321
2023-11-08,137.75,140.4,141.15,137.7,9755483
2023-11-09,139.95,137.95,139.95,137.6,5481774
2023-11-10,137.5,138.8,139.1,137.05,5781314
2023-11-12,139.95,139.6,140.3,139.3,1362464
2023-11-13,139.15,143.4,144.2,139.05,20245049
2023-11-15,144.5,143.05,145.4,142.5,11440473
2023-11-16,143.25,142.6,144.35,142.2,11453235
2023-11-17,142.85,146.1,146.5,141.8,13496261
2023-11-20,146.4,143.85,146.75,143.15,7741502
2023-11-21,144.15,142.85,144.55,142.25,9972235
2023-11-22,143.25,141.85,143.45,140.15,7445272
2023-11-23,141.85,139.35,142.55,139.1,13138745
2023-11-24,139.95,140.35,142.15,137.35,19614754
2023-11-28,141.65,141.3,141.8,140.4,8595693
2023-11-29,142.05,141.0,142.65,140.5,14680789
2023-11-30,141.0,145.9,146.35,140.75,27591484
2023-12-01,147.95,147.45,150.3,146.75,34466616
2023-12-04,152.0,153.55,157.5,151.6,51416976
2023-12-05,153.7,152.0,155.1,149.95,29109123
2023-12-06,152.6,156.15,157.15,151.85,26688698
