date,open,close,high,low,volume
2023-10-03,3426.9,3351.4,3434.95,3302.9,1354075
2023-10-04,3350.0,3400.9,3408.95,3323.75,566983
2023-10-05,3405.5,3443.6,3453.9,3387.05,394665
2023-10-06,3443.6,3450.4,3464.45,3438.35,249258
2023-10-09,3420.2,3445.6,3476.0,3401.0,471285
2023-10-10,3450.45,3458.75,3474.0,3449.05,206646
2023-10-11,3482.0,3486.6,3494.1,3461.4,343468
2023-10-12,3490.0,3494.2,3534.95,3476.45,644992
2023-10-13,3481.0,3476.4,3500.0,3441.0,280442
2023-10-16,3462.1,3486.6,3503.0,3462.1,147663
2023-10-17,3505.0,3500.85,3522.8,3487.0,260333
2023-10-18,3500.85,3496.1,3546.85,3482.1,368551
2023-10-19,3480.0,3501.2,3534.0,3460.35,353664
2023-10-20,3500.0,3480.9,3500.15,3465.6,216268
2023-10-23,3467.1,3446.35,3492.9,3425.85,211293
2023-10-25,3435.1,3384.4,3446.25,3368.8,354128
2023-10-26,3370.0,3326.8,3375.0,3310.0,428619
2023-10-27,3326.8,3394.85,3410.0,3326.8,293097
2023-10-30,3403.0,3357.65,3426.0,3336.2,257392
2023-10-31,3366.55,3295.55,3367.0,3287.2,409346
2023-11-01,3309.8,3282.25,3315.1,3275.0,325630
2023-11-02,3285.0,3338.3,3345.0,3284.2,493381
2023-11-03,3360.0,3428.0,3458.15,3353.0,568463
2023-11-06,3454.9,3510.95,3543.45,3437.45,722080
2023-11-07,3480.1,3509.05,3538.95,3480.1,335436
2023-11-08,3510.0,3550.3,3565.0,3505.85,393482
2023-11-09,3545.3,3541.9,3596.4,3526.1,538782
2023-11-10,3540.0,3540.75,3565.0,3502.1,259237
2023-11-12,3590.0,3579.3,3611.55,3570.0,113586
2023-11-13,3590.0,3645.4,3675.0,3586.0,875885
2023-11-15,3689.0,3848.3,3860.0,3672.1,1914550
2023-11-16,3848.05,3836.75,3873.0,3813.15,755583
2023-11-17,3824.9,3865.3,3898.0,3816.9,476357
2023-11-20,3850.55,3846.45,3898.9,3824.0,249897
2023-11-21,3865.0,3844.2,3865.6,3826.05,260475
2023-11-22,3830.1,3833.8,3854.4,3805.0,286194
2023-11-23,3836.55,3883.8,3915.0,3833.0,764501
2023-11-24,3895.7,3849.05,3920.0,3842.05,266314
2023-11-28,3855.95,3826.7,3892.15,3777.75,505274
2023-11-29,3852.0,3812.25,3852.0,3791.0,414180
2023-11-30,3857.95,3896.9,3920.0,3828.05,1338711
2023-12-01,3922.0,3891.2,3950.0,3882.05,683211
2023-12-04,3950.0,4180.35,4200.0,3916.0,2824695
2023-12-05,4181.0,4136.5,4195.25,4100.0,1045885
2023-12-06,4088.05,4047.0,4127.95,4025.0,941566
2023-12-07,4050.0,4091.0,4135.0,4048.0,699553
2023-12-08,4100.0,4055.0,4112.4,4028.8,334252
2023-12-11,4055.0,4025.65,4068.9,4010.0,534584
2023-12-12,4047.45,3951.75,4047.45,3936.15,981121
2023-12-13,3969.0,4032.75,4044.95,3957.95,707209
2023-12-14,4058.0,4086.15,4100.0,4045.0,922658
2023-12-15,4099.7,4059.9,4135.3,4045.0,954933
2023-12-18,4076.0,4085.5,4165.0,4068.5,886620
2023-12-19,4094.8,4039.65,4109.55,4022.4,328368
2023-12-20,4074.75,3912.4,4132.45,3891.7,557214
2023-12-21,3900.0,3957.95,4007.9,3847.55,445648
2023-12-22,3983.0,4006.05,4016.95,3948.2,309907
2023-12-26,4024.8,4040.4,4069.65,4012.0,475107
2023-12-27,4068.0,4120.0,4134.95,4042.1,385941
2023-12-28,4120.0,4091.9,4130.0,4080.9,450475
2023-12-29,4099.95,4143.5,4178.0,4094.0,673952
2024-01-01,4145.0,4038.35,4145.0,4030.0,763454
2024-01-02,4010.1,3892.5,4010.75,3882.35,1221148
2024-01-03,3894.05,3887.6,3928.95,3878.45,435449
2024-01-04,3887.5,3861.0,3915.0,3848.5,425702
2024-01-05,3864.05,3877.05,3918.7,3860.0,402103
2024-01-08,3890.0,3884.25,3960.4,3877.5,401263
2024-01-09,3909.25,3870.45,3923.95,3850.6,411462
2024-01-10,3870.45,3842.55,3873.0,3790.65,577499
2024-01-11,3868.8,3888.8,3924.7,3852.45,378237
2024-01-12,3890.2,3870.85,3899.0,3850.0,220410
2024-01-15,3875.0,3832.1,3884.65,3811.0,364325
2024-01-16,3790.0,3792.3,3828.1,3741.5,519197
2024-01-17,3731.0,3751.1,3772.0,3720.0,585284
2024-01-18,3751.1,3691.15,3761.55,3661.0,583931
2024-01-19,3700.0,3699.45,3787.85,3658.0,894473
2024-01-20,3709.9,3697.6,3737.9,3675.1,122046
2024-01-23,3702.05,3616.7,3744.0,3606.05,823427
2024-01-24,3629.0,3635.0,3648.95,3562.45,1318897
2024-01-25,3680.0,3616.45,3680.0,3597.05,699432
