date,open,close,high,low,volume
2023-10-03,634.45,633.55,637.5,628.55,3454441
2023-10-04,631.0,625.5,632.0,624.25,2357914
2023-10-05,626.0,624.35,627.75,619.9,4050085
2023-10-06,624.55,630.9,636.2,622.75,3713370
2023-10-09,625.0,615.15,629.55,613.35,3308557
2023-10-10,616.1,621.25,624.75,615.15,4054232
2023-10-11,626.95,621.5,627.0,619.0,3102088
2023-10-12,622.05,624.65,626.3,619.0,2810053
2023-10-13,623.25,625.25,633.0,614.5,5462771
2023-10-16,633.0,630.05,635.0,619.65,3399593
2023-10-17,632.5,641.8,645.9,630.55,4443295
2023-10-18,641.65,645.0,648.45,637.75,2187089
2023-10-19,639.0,639.0,644.25,629.15,3371397
2023-10-20,636.95,639.95,641.95,630.0,1853937
2023-10-23,638.0,625.25,644.7,621.8,2502483
2023-10-25,625.25,616.45,627.95,607.7,2821496
2023-10-26,611.85,605.85,614.95,602.7,2011512
2023-10-27,606.05,608.65,615.6,606.05,1348147
2023-10-30,609.8,607.6,618.0,600.75,1882245
2023-10-31,607.1,618.35,621.0,604.45,2661284
2023-11-01,621.8,620.05,623.95,616.9,1947740
2023-11-02,622.0,619.3,626.8,618.0,1651263
2023-11-03,622.0,622.1,625.0,619.6,1450553
2023-11-06,622.1,621.8,626.3,619.4,1789823
2023-11-07,623.4,622.45,624.0,614.7,2747838
2023-11-08,624.0,618.75,624.85,617.5,1332249
2023-11-09,618.75,621.35,625.0,613.2,2235630
2023-11-10,620.85,626.75,631.5,620.05,2449660
2023-11-12,629.0,626.9,629.9,624.55,190819
2023-11-13,625.15,621.05,628.2,617.0,2047300
2023-11-15,632.95,636.15,639.4,627.0,2033627
2023-11-16,636.9,634.95,639.7,632.0,1753550
2023-11-17,632.85,651.8,660.0,632.0,4306473
2023-11-20,654.95,652.4,655.2,647.5,2178344
2023-11-21,655.0,667.9,672.05,654.25,5077816
2023-11-22,669.75,668.5,675.35,665.3,2664154
2023-11-23,668.05,665.0,677.0,659.5,2184014
2023-11-24,666.05,668.0,672.25,663.05,1511079
2023-11-28,668.05,673.3,676.7,668.05,1900825
2023-11-29,677.0,675.65,680.45,671.3,1829510
